,Bandwidth,Size,MaxTime,NumParticles,NumProcesses,ReadWrite
0,1180.0894,63165824,0.05607124,1000000,1,Write
1,2946.056,63165824,0.02113234,1000000,1,Read
2,3574.656,126331648,0.03372384,1000000,2,Write
3,5842.998,126331648,0.02064064,1000000,2,Read
4,5586.454,252663296,0.04319296,1000000,4,Write
5,9354.678,252663296,0.02577224,1000000,4,Read
6,6618.128,505326592,0.0728583,1000000,8,Write
7,10263.96,505326592,0.04695774,1000000,8,Read
8,2332.724,120165824,0.04913644,2500000,1,Write
9,3303.256,120165824,0.0346991,2500000,1,Read
10,4259.582,240331648,0.05381762,2500000,2,Write
11,6211.922,240331648,0.03689796,2500000,2,Read
12,6786.526,480663296,0.06761794,2500000,4,Write
13,9773.904,480663296,0.04691834,2500000,4,Read
14,7687.014,961326592,0.1194478,2500000,8,Write
15,10133.842,961326592,0.09053026,2500000,8,Read
16,2528.578,215165824,0.08115836,5000000,1,Write
17,3434.038,215165824,0.05975938,5000000,1,Read
18,4565.972,430331648,0.08989028,5000000,2,Write
19,6355.306,430331648,0.06458066,5000000,2,Read
20,7315.308,860663296,0.1123118,5000000,4,Write
21,9868.66,860663296,0.08321842,5000000,4,Read
22,7883.252,1721326592,0.2084796,5000000,8,Write
23,9585.756,1721326592,0.1713346,5000000,8,Read
24,2741.828,405165824,0.1409304,10000000,1,Write
25,3501.034,405165824,0.1103692,10000000,1,Read
26,4800.878,810331648,0.1609784,10000000,2,Write
27,6354.956,810331648,0.1216108,10000000,2,Read
28,7576.166,1620663296,0.2042008,10000000,4,Write
29,9442.926,1620663296,0.1636808,10000000,4,Read
30,3286.96,3241326592,1.0126562,10000000,8,Write
31,11890.74,3241326592,0.2635204,10000000,8,Read
32,2897.73,975165824,0.32099,25000000,1,Write
33,3502.16,975165824,0.2655838,25000000,1,Read
34,4909.646,1950331648,0.3793812,25000000,2,Write
35,6332.586,1950331648,0.2937262,25000000,2,Read
36,2812.53,3900663296,1.471476,25000000,4,Write
37,9455.322,3900663296,0.393501,25000000,4,Read
38,1111.112,7801326592,6.69634,25000000,8,Write
39,1848.31,7801326592,4.053438,25000000,8,Read
40,2738.672,1925165824,0.6705728,50000000,1,Write
41,3338.488,1925165824,0.5501476,50000000,1,Read
42,1585.59,3850331648,2.337964,50000000,2,Write
43,6225.668,3850331648,0.5899336,50000000,2,Read
44,1051.282,7700663296,6.990972,50000000,4,Write
45,2660.198,7700663296,2.946274,50000000,4,Read
46,253.503,15401326592,59.60656,50000000,8,Write
47,1311.612,15401326592,11.502906,50000000,8,Read
