,Bandwidth,Size,MaxTime,ReadWrite,NumParticles,NumProcesses
0,1994.7,63165824,0.0301998,Write,1000000,1
1,3313.44,63165824,0.0181804,Read,1000000,1
2,3715.25,126331648,0.0324283,Write,1000000,2
3,6254.89,126331648,0.0192616,Read,1000000,2
4,4356.69,189497472,0.0414808,Write,1000000,3
5,8615.97,189497472,0.0209749,Read,1000000,3
6,5915.37,252663296,0.0407343,Write,1000000,4
7,9944.05,252663296,0.0242314,Read,1000000,4
8,2302.41,120165824,0.0497735,Write,2500000,1
9,3438.29,120165824,0.0333302,Read,2500000,1
10,4255.54,240331648,0.0538588,Write,2500000,2
11,6378.65,240331648,0.0359321,Read,2500000,2
12,6034.77,360497472,0.0569694,Write,2500000,3
13,8825.5,360497472,0.038955,Read,2500000,3
14,7228.83,480663296,0.0634122,Write,2500000,4
15,10309.4,480663296,0.0444639,Read,2500000,4
16,2552.24,215165824,0.0803993,Write,5000000,1
17,3475.81,215165824,0.059036,Read,5000000,1
18,4582.93,430331648,0.0895488,Write,5000000,2
19,6451.68,430331648,0.0636108,Read,5000000,2
20,6520.31,645497472,0.0944118,Write,5000000,3
21,8766.3,645497472,0.0702229,Read,5000000,3
22,7673.24,860663296,0.106968,Write,5000000,4
23,10242.9,860663296,0.0801327,Read,5000000,4
24,2756.51,405165824,0.140176,Write,10000000,1
25,3503.88,405165824,0.110277,Read,10000000,1
26,4917.58,810331648,0.157149,Write,10000000,2
27,6412.22,810331648,0.120519,Read,10000000,2
28,6848.72,1215497472,0.169256,Write,10000000,3
29,8869.82,1215497472,0.130689,Read,10000000,3
30,8125.43,1620663296,0.190216,Write,10000000,4
31,9630.14,1620663296,0.160495,Read,10000000,4
32,2985.45,975165824,0.311508,Write,25000000,1
33,3574.52,975165824,0.260172,Read,25000000,1
34,5089.79,1950331648,0.365434,Write,25000000,2
35,6327.59,1950331648,0.293948,Read,25000000,2
36,5525.22,2925497472,0.504952,Write,25000000,3
37,7854.93,2925497472,0.355187,Read,25000000,3
38,5062.4,3900663296,0.734821,Write,25000000,4
39,9709.42,3900663296,0.383129,Read,25000000,4
40,2758.2,1925165824,0.665644,Write,50000000,1
41,3421.82,1925165824,0.536551,Read,50000000,1
42,2698.12,3850331648,1.36093,Write,50000000,2
43,6131.29,3850331648,0.598889,Read,50000000,2
44,1346.5,5775497472,4.09055,Write,50000000,3
45,8199.39,5775497472,0.67175,Read,50000000,3
46,1198.2,7700663296,6.12913,Write,50000000,4
47,1398.6,7700663296,5.2509,Read,50000000,4
48,1397.44,3825165824,2.61047,Write,100000000,1
49,3349.65,3825165824,1.08906,Read,100000000,1
50,1177.32,7650331648,6.19707,Write,100000000,2
51,2056.91,7650331648,3.54704,Read,100000000,2
52,1000.15,11475497472,10.9423,Write,100000000,3
53,653.667,11475497472,16.7423,Read,100000000,3
54,424.02,15300663296,34.4131,Write,100000000,4
55,702.027,15300663296,20.7853,Read,100000000,4
