,Bandwidth,Size,MaxTime,NumParticles,NumProcesses,ReadWrite
0,1261.272,63165824,0.05079036,1000000,1,Write
1,3149,63165824,0.0191323,1000000,1,Read
2,3674.468,126331648,0.03281922,1000000,2,Write
3,5833.864,126331648,0.02065862,1000000,2,Read
4,6037.866,252663296,0.03996068,1000000,4,Write
5,9454.822,252663296,0.0254871,1000000,4,Read
6,6624.708,505326592,0.0727926,1000000,8,Write
7,10178.27,505326592,0.047372,1000000,8,Read
8,2401.632,120165824,0.04772544,2500000,1,Write
9,3311.392,120165824,0.03461712,2500000,1,Read
10,4352.176,240331648,0.05266434,2500000,2,Write
11,6237.856,240331648,0.03674534,2500000,2,Read
12,6959.434,480663296,0.06588878,2500000,4,Write
13,9807.228,480663296,0.04674598,2500000,4,Read
14,7554.576,961326592,0.1213718,2500000,8,Write
15,10055.906,961326592,0.0911742,2500000,8,Read
16,2622.16,215165824,0.0782581,5000000,1,Write
17,3452.438,215165824,0.05944626,5000000,1,Read
18,4641.886,430331648,0.08846278,5000000,2,Write
19,6379.154,430331648,0.06433648,5000000,2,Read
20,7461.874,860663296,0.1100736,5000000,4,Write
21,9883.09,860663296,0.08309036,5000000,4,Read
22,8039.18,1721326592,0.2042738,5000000,8,Write
23,9633.274,1721326592,0.1705792,5000000,8,Read
24,2840.056,405165824,0.1360532,10000000,1,Write
25,3551.982,405165824,0.1087864,10000000,1,Read
26,4991.28,810331648,0.1548368,10000000,2,Write
27,6508.264,810331648,0.1187436,10000000,2,Read
28,7605.394,1620663296,0.2034826,10000000,4,Write
29,9470.774,1620663296,0.1632246,10000000,4,Read
30,3127.588,3241326592,1.0256672,10000000,8,Write
31,12587.16,3241326592,0.2481672,10000000,8,Read
32,3057.766,975165824,0.304145,25000000,1,Write
33,3595.798,975165824,0.2586622,25000000,1,Read
34,5225.15,1950331648,0.3559778,25000000,2,Write
35,6453.742,1950331648,0.2882438,25000000,2,Read
36,2350.992,3900663296,1.7724878,25000000,4,Write
37,9548.14,3900663296,0.390633,25000000,4,Read
38,1456.378,7801326592,6.110562,25000000,8,Write
39,2041.176,7801326592,3.71822,25000000,8,Read
40,2932.434,1925165824,0.6261456,50000000,1,Write
41,3303.736,1925165824,0.5585588,50000000,1,Read
42,1915.436,3850331648,2.3437302,50000000,2,Write
43,6269.486,3850331648,0.585829,50000000,2,Read
44,1486.214,7700663296,6.120106,50000000,4,Write
45,2039.69,7700663296,3.689328,50000000,4,Read
46,290.226,15401326592,52.19296,50000000,8,Write
47,1295.1606,15401326592,12.02197,50000000,8,Read
