,Bandwidth,Size,MaxTime,ReadWrite,NumParticles,NumProcesses
0,2066.64,63165824,0.0291486,Write,1000000,1
1,3341.53,63165824,0.0180275,Read,1000000,1
2,3827.36,126331648,0.0314784,Write,1000000,2
3,6256.98,126331648,0.0192552,Read,1000000,2
4,5393.37,189497472,0.0335076,Write,1000000,3
5,8810.46,189497472,0.0205119,Read,1000000,3
6,6415.54,252663296,0.0375586,Write,1000000,4
7,10143.9,252663296,0.0237541,Read,1000000,4
8,2319.39,120165824,0.0494092,Write,2500000,1
9,3408.28,120165824,0.0336237,Read,2500000,1
10,4356.62,240331648,0.0526092,Write,2500000,2
11,6377.17,240331648,0.0359404,Read,2500000,2
12,6116.09,360497472,0.0562119,Write,2500000,3
13,8946.23,360497472,0.0384293,Read,2500000,3
14,7307.19,480663296,0.0627322,Write,2500000,4
15,10271.2,480663296,0.0446291,Read,2500000,4
16,2580.2,215165824,0.0795279,Write,5000000,1
17,3509.75,215165824,0.0584652,Read,5000000,1
18,4663.24,430331648,0.0880067,Write,5000000,2
19,6426.07,430331648,0.0638642,Read,5000000,2
20,6581.92,645497472,0.093528,Write,5000000,3
21,8920.61,645497472,0.0690081,Read,5000000,3
22,7696.24,860663296,0.106648,Write,5000000,4
23,10190.4,860663296,0.0805457,Read,5000000,4
24,2775.66,405165824,0.139209,Write,10000000,1
25,3493.73,405165824,0.110597,Read,10000000,1
26,4948.45,810331648,0.156169,Write,10000000,2
27,6295.19,810331648,0.122759,Read,10000000,2
28,6858.47,1215497472,0.169016,Write,10000000,3
29,8874.33,1215497472,0.130623,Read,10000000,3
30,8107.34,1620663296,0.19064,Write,10000000,4
31,9704.38,1620663296,0.159267,Read,10000000,4
32,2966.57,975165824,0.31349,Write,25000000,1
33,3539.07,975165824,0.262778,Read,25000000,1
34,5092.44,1950331648,0.365244,Write,25000000,2
35,6304.86,1950331648,0.295007,Read,25000000,2
36,5087.5,2925497472,0.548398,Write,25000000,3
37,8137.23,2925497472,0.342865,Read,25000000,3
38,4044.74,3900663296,0.919703,Write,25000000,4
39,9637.68,3900663296,0.385981,Read,25000000,4
40,2814.93,1925165824,0.65223,Write,50000000,1
41,3379.62,1925165824,0.54325,Read,50000000,1
42,1420.22,3850331648,2.58549,Write,50000000,2
43,6299.75,3850331648,0.582875,Read,50000000,2
44,1273.23,5775497472,4.32597,Write,50000000,3
45,3809.48,5775497472,1.44585,Read,50000000,3
46,1098.21,7700663296,6.68718,Write,50000000,4
47,1423.33,7700663296,5.15966,Read,50000000,4
48,1379.39,3825165824,2.64461,Write,100000000,1
49,3342.03,3825165824,1.09154,Read,100000000,1
50,1232.29,7650331648,5.92064,Write,100000000,2
51,1670.13,7650331648,4.36849,Read,100000000,2
52,944.684,11475497472,11.5847,Write,100000000,3
53,647.3,11475497472,16.907,Read,100000000,3
54,347.57,15300663296,41.9824,Write,100000000,4
55,1033.36,15300663296,14.1207,Read,100000000,4
